trader_id,trader_name,gender,age,location,trading_frequency,,,
19311,David Hunter,Male,36,Tammytown,12,,,
14565,Laura Garner,Male,55,Markborough,40,,,
13006,Michael Cook,Male,37,West Kevinmouth,18,,,
11302,Teresa Parks,Female,57,North Seth,5,,,\
15744,Tyler Brooks,Male,51,Sierrachester,38,,,
13849,Mary Velasquez,Male,54,Port Miguelton,29,,,
14602,David Ballard,Female,31,Martinside,3,,,
16549,Donald Middleton,Male,29,North Joshua,44,,,
15545,Justin Love,Male,49,Careyfort,25,,,
14596,Kevin Thompson,Male,34,Allisonburgh,14,,,
17304,Vickie Jones,Male,56,Scottside,1,,,
17502,Lisa Pacheco,Female,57,Melissaberg,1,,,
17394,Valerie Williams,Female,28,North Allen,25,,,
13233,Clarence Bright,Male,30,Aprilchester,47,,,
18214,Matthew Kemp MD,Male,38,Cantrellfurt,47,,,
19482,Cassandra Duarte,Female,27,Carterchester,19,,,
15255,Kelly Guerrero,Male,59,Wendyville,7,,,
14455,Karen Oconnell,Male,26,South Karen,23,,,
18022,Steven Johnson,Male,58,Gutierrezside,28,,,
10904,James Wiley,Female,38,Marioland,39,,,
17008,Brenda Brooks,Male,29,Patrickfort,26,,,
11392,Rodney Davidson,Male,37,Tristanberg,41,,,
17872,Ashley Costa,Male,32,Salasborough,34,,,
13602,Albert Russell,Male,36,West David,39,,,
18778,Nicholas Kaufman,Female,26,Port Danielfort,45,,,
18368,Sandra Shea,Male,38,Lake Christine,34,,,
12680,Eric Dixon,Male,51,Marisaberg,38,,,
15944,Pamela Long,Female,30,Stevenmouth,14,,,
12592,Brett Morales,Male,51,Lake Leonardshire,2,,,
11108,Sherri Peck,Female,45,Clarkfurt,30,,,
15220,Robert Alexander,Female,44,New Nicholas,16,,,
10176,Julie Alexander,Male,29,West Thomas,38,,,
11140,Larry Cisneros,Female,37,South Stephanieburgh,8,,,
10190,Ryan Ritter,Male,53,Powellmouth,18,,,
10539,Keith Schultz,Female,56,New Makaylaberg,16,,,
17391,Keith Roberts,Male,59,Newmanstad,29,,,
17440,John Hancock,Female,50,Millerport,41,,,
16613,Julia Perry,Female,56,South Brendachester,24,,,
17886,Nicole Arias,Male,41,West Roberttown,25,,,
16234,Jeffery Perez,Female,43,East Stevenfurt,1,,,
19951,Dominic Mahoney,Male,37,Dukemouth,21,,,
19501,Nicole Rice,Female,36,Wagnerstad,48,,,
13484,Curtis Smith,Male,54,New Michael,40,,,
12517,Donald Harper,Male,25,Port Edwin,15,,,
18614,Mrs. Kimberly Spencer,Male,44,Martinezhaven,40,,,
16548,Elizabeth Myers,Female,57,Monicafurt,30,,,
14722,Sydney Clark,Female,56,Port Jamesberg,19,,,
11718,Jennifer Brown,Female,54,New Shelbystad,45,,,
17999,Kenneth Robertson,Male,25,Port Austinchester,10,,,
14496,Tiffany Gregory,Male,49,Lake Katherine,16,,,
15450,Dorothy Scott,Female,45,Markchester,20,,,
19783,Thomas Dyer,Female,41,Lewisport,34,,,
17255,Bianca Howell,Female,25,East James,2,,,
18014,Monica Alexander,Female,45,Markmouth,2,,,
13145,Bryan Kaiser PhD,Female,35,Lake Karamouth,9,,,
14170,Erin Potter,Male,31,East Nicole,13,,,
11643,Anthony Keller,Female,51,Wendyview,7,,,
19503,Dennis Thomas,Female,42,Port Laceyfurt,2,,,
19133,Joshua Patton,Male,53,South Kathy,2,,,
15993,Tiffany Sanchez,Female,52,Kellyberg,48,,,
11992,Amanda Lewis,Female,33,Jasonmouth,25,,,
13932,Peter Perry,Female,31,Watsonberg,21,,,
12976,Ashley Weaver,Female,42,Port Stephanie,19,,,
10168,Stephen Wright,Male,52,Youngville,17,,,
18947,Thomas Carey,Male,34,North Gregoryshire,17,,,
13971,Francisco Friedman,Male,32,East Eric,10,,,
14969,Megan Anderson,Male,49,Port Waynetown,32,,,
17348,Shannon Cook,Female,30,Welchstad,30,,,
11325,Susan Thompson,Male,44,West Jacquelinetown,1,,,
17805,Aaron Mooney,Male,33,Alexisport,43,,,
18969,Lance James,Female,42,West Ashleyshire,25,,,
13803,Ashley Rogers,Female,44,Port Christopherton,18,,,
14290,Kenneth Prince,Female,39,Davidshire,25,,,
14227,William Dudley,Female,50,East Erin,1,,,
17337,William Martinez,Male,43,East Josephchester,16,,,
17354,Gary Hall,Female,49,Mannland,10,,,
12268,Adam Nicholson,Male,31,Dennisside,32,,,
16776,Nathan Edwards,Male,45,Marthaburgh,47,,,
15722,Renee Castillo,Male,39,East Linda,17,,,
11723,Yolanda Duke,Female,48,West Rogerberg,42,,,
10513,Zachary Rice,Female,52,Lake Kristinafurt,1,,,
14243,Joshua Bond,Female,35,New Michelletown,20,,,
13698,Mary Taylor,Male,34,North Andrewmouth,33,,,
18414,Gina Perez,Female,51,Mahoneyland,26,,,
14676,Jonathon Williams,Male,58,New Alexanderborough,19,,,
19122,Samuel Johnson,Male,43,Bradyshire,23,,,
11465,Leon Garner,Male,44,Lake Laura,27,,,
14722,Miss Katherine Kelly,Male,49,Webbville,46,,,
13942,David Wood,Male,32,New Mitchell,6,,,
15942,Kathleen Bennett,Male,36,Torreston,38,,,
18966,Jasmine Murray,Male,50,Zunigaborough,40,,,
12371,Michael Knight,Male,49,Shepherdville,45,,,
18468,Jill Martinez,Male,30,Moralesstad,22,,,
11358,Daniel Dixon,Male,45,Stephenfort,32,,,
13534,Barbara Lara,Male,28,Lake Helen,25,,,
17291,Brett Howard,Female,48,Roseborough,23,,,
15313,Catherine Jones,Female,45,Morenoshire,47,,,
16082,Lori Golden,Female,54,East Michelleborough,30,,,
15022,Robert Bowen,Male,45,Port Brandon,18,,,
17721,Samantha Bailey,Male,46,Matthewborough,17,,,
17958,Katie Doyle,Female,32,Harrisberg,44,,,
16879,Jason Green,Male,26,Hallton,17,,,
17803,Kelsey Yu,Male,55,Lake David,27,,,
19241,Rachel Romero,Male,42,Caseyview,4,,,
12496,Holly Joseph,Female,47,North Carla,19,,,
19102,Jose Adams,Male,30,Johnsonborough,44,,,
12974,Larry Friedman,Female,38,Cunninghamfurt,24,,,
10457,Jason Martinez,Male,38,North Heather,35,,,
18908,John Allen,Male,57,Lake Christinaview,33,,,
18157,Laura Jarvis,Female,41,Robersonstad,1,,,
15066,Janet Rogers,Male,53,South Anthonyhaven,20,,,
15669,Tina Hernandez,Female,44,Mirandafurt,3,,,
19108,Lori Anderson,Male,39,Gibbsstad,4,,,
